  0.38812949E-01  0.26699439E+02  0.56839096E+03  0.44010534E+03 -0.65661364E+03 -0.65661364E+03 -0.12782540E+03  0.21915489E-01  0.67032470E+03  0.11578530E+03  0.28606868E-03  0.72497696E+03  0.99868828E+00  0.78264826E+03  0.10256545E-02  0.37734262E+03  0.99976022E+00  0.78272542E+03  0.23977596E-03  0.78650635E+03  0.18265566E+03  0.99430577E+00  0.55647439E-02  0.68886879E-06  0.00000000E+00
  0.17661960E-01  0.49641495E+02  0.74284700E+03  0.85384629E+03 -0.81733066E+03 -0.81733066E+03 -0.10697989E+03  0.35237225E-02  0.11135015E+04  0.11787875E+03  0.17031562E-02  0.41719210E+03  0.99829505E+00  0.83875393E+03  0.17943975E-05  0.26629071E+03  0.99999052E+00  0.83882833E+03  0.94792689E-05  0.84261981E+03  0.36505795E+03  0.99781399E+00  0.21678143E-02  0.29844776E-05  0.00000000E+00
  0.17289182E-01  0.40659791E+02  0.49089698E+03  0.66184684E+03 -0.76113412E+03 -0.76113412E+03 -0.39003726E+03  0.58461639E-02  0.92287438E+03  0.11771227E+03  0.44455773E-03  0.51777818E+03  0.99954857E+00  0.80024862E+03  0.68677576E-05  0.60383460E+03  0.99990262E+00  0.80034662E+03  0.97381891E-04  0.80422142E+03  0.27913832E+03  0.99694281E+00  0.30244335E-02  0.20696281E-06  0.00000000E+00
  0.10372124E-01  0.43112692E+02  0.83305998E+03  0.86212273E+03 -0.93731731E+03 -0.93731731E+03 -0.22461788E+03  0.33322721E-02  0.11470686E+04  0.11914113E+03  0.79674282E-04  0.67865744E+03  0.99991886E+00  0.10170100E+04  0.14641640E-05  0.49806784E+03  0.99999409E+00  0.10170645E+04  0.59071014E-05  0.10200710E+04  0.36901249E+03  0.99797173E+00  0.20144473E-02  0.43027941E-07  0.00000000E+00
  0.39004398E-01  0.24040610E+02  0.46323641E+03  0.58379310E+03 -0.74336315E+03 -0.74336315E+03 -0.16160738E+03  0.20866613E-01  0.84849117E+03  0.11712532E+03  0.22098749E-03  0.86721858E+03  0.99761296E+00  0.90823790E+03  0.21660519E-02  0.46508714E+03  0.99979258E+00  0.90827852E+03  0.20742454E-03  0.91147899E+03  0.24455622E+03  0.99640452E+00  0.35414149E-02  0.32648835E-06  0.00000000E+00
  0.63446216E-01  0.16148799E+02  0.50104866E+03  0.50699662E+03 -0.71417259E+03 -0.71417259E+03 -0.48677850E+03  0.41277750E-01  0.76458212E+03  0.11569495E+03  0.45561960E-03  0.86688411E+03  0.99165238E+00  0.90617798E+03  0.78919955E-02  0.84371944E+03  0.98008379E+00  0.90710219E+03  0.19916210E-01  0.90912631E+03  0.21118225E+03  0.99551773E+00  0.43818208E-02  0.74915185E-06  0.00000000E+00
  0.31603926E-01  0.25432588E+02  0.40523454E+03  0.80880773E+03 -0.80613733E+03 -0.80613733E+03 -0.44098680E+03  0.14192054E-01  0.10947397E+04  0.11827214E+03  0.24311257E-03  0.86664525E+03  0.99971911E+00  0.11054110E+04  0.37776664E-04  0.80454196E+03  0.99982090E+00  0.11054858E+04  0.17909714E-03  0.11081017E+04  0.34311430E+03  0.99777478E+00  0.22055279E-02  0.14106124E-06  0.00000000E+00
  0.17694641E-01  0.34865361E+02  0.38869851E+03  0.79075224E+03 -0.59846350E+03 -0.59846350E+03 -0.30942728E+03  0.47002481E-02  0.10276552E+04  0.11769215E+03  0.93217696E-03  0.46250855E+03  0.99906600E+00  0.93831950E+03  0.18206317E-05  0.50301050E+03  0.99998559E+00  0.93836881E+03  0.14407298E-04  0.94158568E+03  0.33499505E+03  0.99743020E+00  0.25466165E-02  0.47437137E-06  0.00000000E+00
  0.60695035E-01  0.20122295E+02  0.34974450E+03  0.61920342E+03 -0.93244532E+03 -0.93244532E+03 -0.31787709E+03  0.39280081E-01  0.93455506E+03  0.11749021E+03  0.21693808E-03  0.97625436E+03  0.42941281E-03  0.11298155E+04  0.99935365E+00  0.74851747E+03  0.99784670E+00  0.97682254E+03  0.21533019E-02  0.97937034E+03  0.25979799E+03  0.99707495E+00  0.28841929E-02  0.31323463E-06  0.00000000E+00
  0.12689191E-01  0.31497030E+02  0.89588877E+03  0.57358972E+03 -0.74278267E+03 -0.74278267E+03 -0.33438861E+03  0.62782137E-02  0.81207583E+03  0.11736008E+03  0.47688664E-04  0.71521291E+03  0.99994862E+00  0.10054687E+04  0.36899372E-05  0.63458311E+03  0.99998292E+00  0.10055033E+04  0.17079916E-04  0.10084768E+04  0.24193721E+03  0.99605443E+00  0.38891258E-02  0.53135737E-07  0.00000000E+00
